shipment_id,vehicle_id,driver_name,origin,destination,shipment_date,distance_km,vehicle_type,shipment_status,freight_cost,delivery_date,fuel_consumption_litre,fuel_cost,cargo_weight_kg,delivery_priority
SHP0172,VH514,Amanda Griffith,Port Courtney,Robinsonhaven,2026-03-14,1468,Trailer,In Transit,9126.61,2026-08-22,209.7,3614.89,16742,High
SHP0173,VH879,Kimberly Harvey,Bethfort,Littlebury,2026-01-04,1077,Van,Pending,88815.96,2026-08-12,439.62,11162.51,205,Low
SHP0174,VH417,Herbert Barajas,East James,East Karen,2026-06-23,1643,Truck,Delivered,18449.38,2026-08-17,366.87,6913.74,17572,High
SHP0175,VH124,Shari Griffith,Shawnborough,Lake Carloschester,2025-09-23,1749,Truck,In Transit,31622.83,2026-08-19,69.19,2721.31,15828,High
SHP0176,VH273,Michele Warren,West Kristenstad,East Megan,2025-09-06,1924,Truck,Delivered,37772.87,2026-08-28,263.0,11148.34,14580,High
SHP0177,VH948,Kevin Lowe,South Charlesfurt,Mitchellmouth,2025-09-26,599,Truck,In Transit,87059.81,2026-09-01,143.43,14371.11,2485,Medium
SHP0178,VH631,Debra Mccormick,West Kennethshire,Cervantesfurt,2026-08-30,1310,Van,In Transit,84883.37,2026-08-07,447.56,6172.84,17364,Medium
SHP0179,VH159,Joseph Wells,West Jessica,New Ralphmouth,2026-08-20,483,Truck,Delivered,78980.77,2026-08-23,469.03,14292.01,16942,High
SHP0180,VH392,Angela Garrett,Adamborough,East Matthew,2026-01-21,1434,Trailer,Pending,12206.55,2026-08-22,311.76,5570.11,14577,Medium
SHP0181,VH911,Cynthia Greene,Gloverview,Heatherton,2026-02-18,1212,Van,Pending,53671.41,2026-08-22,436.93,3682.43,10719,Medium
SHP0182,VH606,Paula Miller,Davidport,Raymondbury,2025-09-28,1860,Van,Delivered,85316.31,2026-08-12,438.57,5625.96,3170,High
SHP0183,VH221,David Schmitt,Rickyside,Angelaburgh,2025-11-29,733,Truck,In Transit,32970.36,2026-08-10,226.2,13179.11,16649,High
SHP0184,VH328,Robert Sims,Rebeccaborough,South Lauren,2026-08-09,1033,Truck,Pending,74221.37,2026-08-18,366.89,10981.95,13305,Low
SHP0185,VH908,Gina Sparks,Port Lisaview,Donnafurt,2026-06-10,490,Truck,In Transit,88817.93,2026-08-06,480.0,5502.01,14387,High
SHP0186,VH852,Christopher Page,New Robert,West Danielleview,2026-04-11,1535,Truck,Delivered,31168.03,2026-08-31,277.7,2242.2,10999,High
SHP0187,VH608,Brian Foster,South Matthew,Frankberg,2026-03-17,1438,Trailer,Delivered,74224.73,2026-08-30,242.52,3549.43,5611,Low
SHP0188,VH617,Randy Larsen,North Nicole,Lake Ralph,2025-11-14,1794,Van,Delivered,76923.0,2026-08-20,404.85,8166.14,3246,Medium
SHP0189,VH874,Brett Brooks,South Robert,Lake Donald,2026-05-23,257,Van,In Transit,13351.66,2026-08-10,107.35,9915.58,16809,High
SHP0190,VH459,Dr. Emily Gordon,Lake Zacharyberg,Christopherburgh,2025-11-22,916,Trailer,Pending,11259.3,2026-08-06,50.38,12392.94,10087,Medium
SHP0191,VH923,Christopher Anderson,Wolfview,Middletonville,2026-08-19,1586,Trailer,Delivered,92347.94,2026-09-01,195.56,5123.64,15161,High
SHP0192,VH699,Mindy Martin,Lisaville,Blakemouth,2025-09-25,1502,Truck,Pending,47322.37,2026-08-26,337.47,13751.36,9760,High
SHP0193,VH747,Christy Humphrey,East Bryanside,Hernandezport,2025-12-12,62,Van,Delivered,67006.53,2026-08-05,313.79,13846.88,9573,High
SHP0194,VH921,Austin Rasmussen,South Ericberg,North Jake,2026-04-19,351,Truck,Pending,94705.41,2026-08-09,264.38,10190.93,8166,Low
SHP0195,VH988,Michael Caldwell,New Brentborough,Doylebury,2026-03-18,1430,Truck,Pending,51527.58,2026-08-05,348.86,5548.07,19327,Medium
SHP0196,VH799,Richard Nelson,South Kimberlyside,North Samanthabury,2025-10-11,903,Truck,Pending,67512.04,2026-08-16,385.06,3261.91,18483,Medium
SHP0197,VH117,Emily Butler,North Susanstad,Aliciaborough,2026-08-15,568,Trailer,In Transit,21584.75,2026-08-10,135.66,13613.76,10451,Medium
SHP0198,VH225,Erin Burke,Jenniferside,Vernontown,2026-06-06,285,Van,Pending,6759.02,2026-08-15,408.14,2420.62,973,High
SHP0199,VH776,Jennifer Monroe,Port Amanda,Aaronland,2026-07-03,1417,Trailer,Pending,76903.76,2026-09-02,338.0,13336.83,6079,High
SHP0200,VH480,Amanda Brown,Smithbury,New Ashley,2026-07-04,616,Van,Pending,37226.19,2026-09-01,95.62,5484.26,2860,Medium
