customer_key,customer_name,account_number,account_type,branch_code,account_balance,account_status,record_date,record_year
35,Customer_35,ACC10035,Current,BR436,325115.03,Closed,2023-10-25,2023
36,Customer_36,ACC10036,Salary,BR343,162207.88,Active,2020-05-26,2020
37,Customer_37,ACC10037,Savings,BR758,452429.85,Closed,2026-05-20,2026
38,Customer_38,ACC10038,Current,BR125,403986.84,Inactive,2025-09-22,2025
39,Customer_39,ACC10039,Savings,BR835,145366.35,Active,2023-07-24,2023
40,Customer_40,ACC10040,Salary,BR663,383652.43,Active,2019-03-13,2019
41,Customer_41,ACC10041,Savings,BR786,239185.69,Inactive,2021-11-17,2021
42,Customer_42,ACC10042,Current,BR905,96794.69,Inactive,2025-05-08,2025
43,Customer_43,ACC10043,Savings,BR705,98133.5,Active,2020-09-21,2020
44,Customer_44,ACC10044,Salary,BR415,443879.44,Inactive,2019-10-03,2019
45,Customer_45,ACC10045,Salary,BR839,212319.91,Closed,2026-06-22,2026
46,Customer_46,ACC10046,Savings,BR372,299167.77,Active,2024-11-27,2024
47,Customer_47,ACC10047,Salary,BR107,105587.29,Closed,2025-09-17,2025
48,Customer_48,ACC10048,Current,BR992,406245.13,Active,2023-04-05,2023
49,Customer_49,ACC10049,Current,BR916,45422.12,Active,2019-06-19,2019
50,Customer_50,ACC10050,Current,BR468,228980.01,Active,2022-07-31,2022
51,Customer_51,ACC10051,Salary,BR389,233873.79,Inactive,2025-09-23,2025
52,Customer_52,ACC10052,Current,BR619,454110.12,Inactive,2024-05-10,2024
53,Customer_53,ACC10053,Salary,BR449,175140.63,Inactive,2023-08-18,2023
54,Customer_54,ACC10054,Current,BR973,239027.04,Inactive,2024-02-02,2024
55,Customer_55,ACC10055,Salary,BR652,360204.0,Closed,2019-08-14,2019
56,Customer_56,ACC10056,Savings,BR717,496182.36,Closed,2023-03-22,2023
57,Customer_57,ACC10057,Savings,BR709,423795.98,Inactive,2025-01-02,2025
58,Customer_58,ACC10058,Salary,BR435,326077.02,Active,2018-11-10,2018
59,Customer_59,ACC10059,Salary,BR482,141878.7,Active,2023-02-15,2023
60,Customer_60,ACC10060,Savings,BR415,48631.16,Active,2021-05-18,2021
61,Customer_61,ACC10061,Salary,BR862,37870.74,Inactive,2021-02-21,2021
62,Customer_62,ACC10062,Salary,BR685,491956.13,Closed,2020-10-29,2020
63,Customer_63,ACC10063,Current,BR306,170332.84,Closed,2018-11-09,2018
64,Customer_64,ACC10064,Salary,BR929,282471.68,Inactive,2020-10-25,2020
65,Customer_65,ACC10065,Salary,BR808,289550.44,Active,2019-03-19,2019
66,Customer_66,ACC10066,Current,BR980,467650.9,Inactive,2025-01-05,2025
67,Customer_67,ACC10067,Salary,BR275,386584.46,Active,2025-06-02,2025
68,Customer_68,ACC10068,Current,BR268,16538.23,Closed,2025-06-22,2025
69,Customer_69,ACC10069,Current,BR190,199309.92,Closed,2024-05-29,2024
70,Customer_70,ACC10070,Savings,BR249,462063.34,Inactive,2022-07-30,2022
71,Customer_71,ACC10071,Current,BR724,226356.25,Inactive,2026-08-07,2026
72,Customer_72,ACC10072,Savings,BR462,412260.21,Inactive,2025-06-14,2025
73,Customer_73,ACC10073,Salary,BR569,194731.51,Active,2024-12-10,2024
74,Customer_74,ACC10074,Salary,BR256,21630.52,Active,2023-07-14,2023
75,Customer_75,ACC10075,Salary,BR294,285436.24,Inactive,2025-11-08,2025
76,Customer_76,ACC10076,Current,BR151,303097.12,Active,2024-12-12,2024
77,Customer_77,ACC10077,Savings,BR150,290419.01,Active,2022-03-01,2022
78,Customer_78,ACC10078,Salary,BR469,418149.64,Inactive,2025-10-23,2025
79,Customer_79,ACC10079,Current,BR712,381950.36,Active,2019-02-27,2019
80,Customer_80,ACC10080,Savings,BR603,82241.88,Inactive,2022-07-20,2022
81,Customer_81,ACC10081,Current,BR999,19624.21,Active,2023-12-05,2023
82,Customer_82,ACC10082,Salary,BR530,77414.51,Closed,2025-03-13,2025
83,Customer_83,ACC10083,Current,BR196,198906.07,Active,2026-06-29,2026
84,Customer_84,ACC10084,Savings,BR532,361125.06,Inactive,2021-04-24,2021
85,Customer_85,ACC10085,Salary,BR765,424844.17,Active,2021-12-05,2021
86,Customer_86,ACC10086,Salary,BR734,238121.95,Active,2022-07-21,2022
87,Customer_87,ACC10087,Current,BR112,332903.85,Closed,2024-08-25,2024
88,Customer_88,ACC10088,Salary,BR334,49350.59,Closed,2023-01-04,2023
89,Customer_89,ACC10089,Savings,BR690,453045.83,Closed,2023-12-30,2023
90,Customer_90,ACC10090,Current,BR463,35809.21,Active,2021-02-13,2021
91,Customer_91,ACC10091,Salary,BR643,14025.92,Inactive,2025-08-28,2025
92,Customer_92,ACC10092,Savings,BR768,418767.42,Inactive,2019-01-11,2019
93,Customer_93,ACC10093,Salary,BR148,179854.25,Closed,2020-09-03,2020
94,Customer_94,ACC10094,Savings,BR119,103578.9,Inactive,2024-01-07,2024
95,Customer_95,ACC10095,Savings,BR352,193778.17,Closed,2020-12-08,2020
96,Customer_96,ACC10096,Salary,BR528,437000.0,Active,2025-03-26,2025
97,Customer_97,ACC10097,Savings,BR226,14807.12,Active,2020-01-31,2020
98,Customer_98,ACC10098,Savings,BR227,346883.74,Active,2026-05-14,2026
99,Customer_99,ACC10099,Salary,BR544,369405.7,Active,2018-11-03,2018
100,Customer_100,ACC10100,Current,BR148,276294.05,Active,2025-09-04,2025
